id,name,artist,mood
11na2yXOmMbkUL8f5j6vxZ,Main Rang Sharbaton Ka (Lofi Mix),Pritam,lofi
1pnC5d46tqFwjqGtbjJPn7,Subhanallah Lofi Mix,Pritam,lofi
7JGgKHHDgJCJkQCQxyHHdl,Zara Zara - Lofi,Bombay Jayashri,lofi
1KPAtV3E11Y3pbnzUOtO0d,Samjhawan - Lofi Flip,KSW,lofi
05R5NzVM92huBXaszuXSZH,Teri Ore (Lo-Fi Flip),VIBIE,lofi
1E16f7KcZmuXuhlenRwA2m,Saibo - Lofi Flip,VIBIE,lofi
4k3lDspNfbhsutzrPFbcpZ,Mind Relaxing Lofi Mashups,Kishan Bairwa Kanyakheri,lofi
2R3CJquLzefg8IYp0K0hnB,Rangisari Lofi Mix,Kanishk Seth,lofi
5w1MhmSc5S5iHnhy4s3fFb,Hawayein - Lofi Flip,VIBIE,lofi
0GucA3qLWxJU6Peffg3yHD,Ilahi Lofi Mix,Pritam,lofi
6otk6bUVXgXsBCygldOoDa,Jeene Laga Hoon (Lofi Mix),Atif Aslam,lofi
7JOFplrLQfYkuEcWCASZDo,Iktara - Lofi Flip,Kavita Seth,lofi
0olOcc4XT3iLyhlzqPUugX,No Love - Lofi,Sahel Ahmed,lofi
2f7zO0rjaIcGO9Nf0nwL8S,Darasal Lofi Mix,Atif Aslam,lofi
3dOxvk4imaxwF2EpFOeIeN,"Tum Se Hi (From ""Love In Lo-Fi Volume 1"")",Mohit Chauhan,lofi
5EIFtcs5653Xjgs1gAAB7a,Pee Loon Lofi Mix,Pritam,lofi
29NyItj5L18Qn4QlPSeRE3,Waalian (Lofi Mix),Gravero,lofi
3TEpHcylaJDZyYOiBVzlwN,Raanjhanaa - Lofi Flip,Silent Ocean,lofi
1CsRoIeHaHRysPMoEaKRoQ,Tum Mile - Lofi Flip,KSW,lofi
0s8Ht3XaHDQuDjLnK3xVMW,Shayad - Lofi Flip,VIBIE,lofi
7EcRb9AkOSRXdTFAlKt5Vy,Falak Tak - LoFi Mix,Udit Narayan,lofi
7vwTvVDpsONocB0zr8ShtJ,Ranjha - Lofi Flip,VIBIE,lofi
0ThEdqK8ZBi4nKNs1fOpJD,Tu Jaane Naa (Lofi Mix),Pritam,lofi
4jQkn21WCZ7g1NS2wMQeoi,Hasi - Lofi Flip,KSW,lofi
6v8mSl4GZXok3Ebe9x4Jmr,Mood - Lofi,Yagih Mael,lofi
2aLmZdasaFf9F3AIM2kM2a,Gangsta's Paradise,Lofi Fruits Music,lofi
1likAlZIuAlfJCWOItGojk,Paniyon Sa Lofi Mix,Tulsi Kumar,lofi
6xsAnI5UUKWkPivbL1N8MA,Lofi,SMUBeats,lofi
0yIUl79oGZKSYeLY1KEOxP,"Raataan Chill Mix - Spotify Singles (Tanishk Bagchi, Jubin Nautiyal, Hanita Bhambri)",Tanishk Bagchi,lofi
6sAn8zDfv8nIq3gdce7QNI,Lofi,Domknowz,lofi
7nsjBUVRQTUEvCReXAtVPi,Kesariya - Lofi Flip,VIBIE,lofi
0EPGVAed53ejSJOBssPuoP,Lofi,Tollan Kim,lofi
77IPBSEbMAiH7gOGfLllKz,Saiyyan - Lofi Flip,Kailash Kher,lofi
5mUHMvSFACM4vxOSzh08va,Lofi,Aesthetic Taffy,lofi
4NuQs8bpxVNt3AG6ISLW9m,Mera Mann (Lo-fi Remix),Lofiwaala,lofi
40yBRGHr0OdSSwGWB6tnnd,Lofi,Designer Pack,lofi
79UQjoU5Yfe4AsVlbVOvPz,Mehrama - Lofi Flip,Darshan Raval,lofi
0A68HIrp4RkxapM9KDLhrv,lofi,lofi weeb,lofi
0iE24szoaXoC3SRQ07181N,Lofi,Wilmer Roberts,lofi
1Zi1HxNIWVFHx1RxOXkTjB,Sankat Mochan Hanuman - Lofi,Agam Aggarwal,lofi
7gBIx2EA6bzSIMKFPw629x,LoFi,Zleept,lofi
7BbhFrLzCP7DdnV69vVbCv,Hosanna - Lofi Flip,Leon D'souza,lofi
5Y2FbfYRCaScEgpgdW9cB2,Lofi,Ponder,lofi
13KIV1iZ2LXabTE1v9GONW,O Re Piya - Lofi Mix,Salim–Sulaiman,lofi
7wNVHDo2amyrOIAAY3Hgoi,Lofi,Acey,lofi
0q1EaeaqfLBLqRvlkSbYi9,Kyon - Lofi Flip,Papon,lofi
01Wh4PA13qB3IfIZYEgGox,Lofi,Sad Music,lofi
2DElbo4VXfqtYzr1S2z18y,Chashni Lofi Mix,Abhijeet Srivastava,lofi
4kCxHdabBmA2gjyKSeFbsX,Lofi,dj Reina HD,lofi
1tEto4JrqNmBZFH5uAiYqb,Sadi Gali,Lehmber Hussainpuri,sad
2lX53kXvYnvpV8Vqfe4S7s,Sadqay,Aashir Wajahat,sad
5ULIvl0zduD2l9g6hdXnDo,Ehsaas,Sheera Jasvir,sad
4KOxInngzPVaH53HDSJ9A9,Sadiya,Pawan Singh,sad
5trLYW0GIV2xESg4lbJrhY,Ek Raat,Vilen,sad
0aVpOPirZUdeJon1ikS9M5,Mohabat,Sucha Yaar,sad
65VPmzFHFqHWmUjyKjCfAt,Sadiya Bulukiya,Pawan Singh,sad
1YvDD9JGHnFaXBxiUuL8mX,Kde Kde,Harvi,sad
3ee8Jmje8o58CHK66QrVC2,SAD!,XXXTENTACION,sad
3BJe4B8zGnqEdQPMvfVjuS,Summertime Sadness,Lana Del Rey,sad
79OpcqzQvmqmy92saiWA4R,"Roke Na Ruke Naina (From ""Badrinath Ki Dulhania"")",Arijit Singh,sad
7sB18S2Ae8Aye4n9s9LZNj,Sada Siva,Mani Sharma,sad
12TxeF1dTrc2bxQcEl9NyA,Aadat,Ninja,sad
09gysnJpfQ3ublBmJDfcEC,SAD GIRLZ LUV MONEY Remix (feat. Kali Uchis and Moliy),Amaarae,sad
2MsGTWvf7dcjKbI0WTq6Pz,Judaai,Sachin-Jigar,sad
4ITtnvLQ6SOA8XhiqkLa24,Gulabi Sadi,Sanju Rathod,sad
4dPeCbg2Op44s9kwyMS3ZT,Sadka,Vishal-Shekhar,sad
7k3jpyYPnVnbO0p7iejWxL,Saadda Haq,Mohit Chauhan,sad
2vhQo1YVhZVFTohJIlHg3v,Sada Nannu,Mickey J. Meyer,sad
4VsP4Dm8gsibRxB5I2hEkw,Kahani Suno 2.0,Kaifi Khalil,sad
3HqsyASz8AmUqqRzZBU1af,Sadhana,John Rai,sad
2XXea7eZyOyQWHHs4s7yI2,Ek Tarfa - Reprise,Darshan Raval,sad
11MyiSGZSYSmhhqwGUTtAq,Sad Girl,Lana Del Rey,sad
0l3skVMcq5PP1ky7afSp9Q,Swaad 2,Mand,sad
3WALn4IKUl7FlXjBg228nj,Sadda Dil Vi Tu (Ga Ga Ga Ganpati),Sachin-Jigar,sad
6E9UwSfT80age2xknoMS7Y,"Tum Hi Aana (From ""Marjaavaan"")",Payal Dev,sad
2tE3OmSOuHZMYpJgVvgLbf,Sade Jehe,R Nait,sad
3LlkD3AvhsR2UMVavf5cL8,"Maroon Color Sadiya - From ""Fasal""",Neelkamal Singh,sad
2qJ8o4JP7O5PaXhDPXxukq,Sadha Ninna Kannali,Sonu Nigam,sad
2Phw97ehqH41VeV29lHSOU,Sadma Ashiq,Jed,sad
4shmzSwbjpKUIlNhxzlVeC,Kadhal Sadugudu,S.P. Charan,sad
71OoohX1NBG4ez6eijgaWE,Dil Tod Ke,Rochak Kohli,sad
6cCSo8zu3bRck519ZqRGfk,Pehla Nasha,Udit Narayan,sad
3HiobOOpSpMsi95WBKPBYk,Hamari Adhuri Kahani (Title Track),Jeet Gannguli,sad
75v90PN9FbhV1RC0ukWMWJ,Chhad Dila,Lehmber Hussainpuri,sad
3YB09zhSWO8mmESr8NUV0n,Manasa,Haricharan,sad
6riCsiX9csuomBYnenrtGd,Saadi Galli Aaja,Rochak Kohli,sad
5ISB4uH8BwngBcWEYYqCpe,"Vennilavae (From ""Minsara Kanavu"")",Hariharan,sad
2ZWLHQCbPZqck2o2JVkmbC,Wafa Ne Bewafai,Arijit Singh,sad
57h06SZNL6LJ3YKZ1UGCeu,Sadeness,Enigma,sad
55OfBElVAZDNBt1oCSungN,Promises,Saabi Bhinder,sad
3eeUvZTgP5uJfOMqI3sUVq,Akkam Pakkam,Sadhana Sargam,sad
5R6T1zVAE6cpBorNs8MVGU,Saat Samundar Paar Happy,Sadhana Sargam,sad
5bdX7jiXtSbHX35pgxJo8p,O Khuda,Amaal Mallik,sad
7Czm0vv2sYL5z4P51KY66e,Maahi Ve,Shankar-Ehsaan-Loy,sad
7HDMkYCXCdlQ14RkIdgEi4,Sadiya Sitar Wali,Pramod Premi Yadav,sad
4XL3S4cP3jqdBotKjxulS5,"Na Kajare Ki Dhar (From ""Mohra"")",Sadhana Sargam,sad
1lqdPJz24AiFWeo3arwPXR,Yaaro Yaaro,Harris Jayaraj,sad
3GCvRY92yUzSRQ3V9mVElL,Tumhein Apna Banane Ki Kasam Khai Hai,Kumar Sanu,sad
4AwUc1mdlX4ARHkUNG0iho,SAD SONG,P1Harmony,sad
2pW5kNCx133MWWirxegvng,Happy Birthday To You - Classic Version,Happy Birthday Songs,happy
7yCF65vpc7sUwPjftI0iFb,Happy Nation,Ace of Base,happy
5H0Yfo3acNXU278LqN47pA,Happy B'Day,D Soldierz,happy
3QbdShNwcXqKIk1xvGp8P8,Happy Hour,Talha Anjum,happy
3n6tB0RkaxQkgWtF1LmsU9,Happy New Year,Vidyasagar,happy
6n4LpWn6gFvczitm1QMi3R,Happy Birthday To You Ji,Mimi Teddy,happy
0cx3DUvLuL7iTJ6aUzAZNx,Happy,All Ok,happy
68UJW1jJ3cK0FjWKaMGDBk,Baar Baar Din Ye Aaye-Happy Birthday To You - Jhankar Beats,Mohammed Rafi,happy
2IarWd16hKAvXU8vnEunVb,Mileya Mileya,Rekha Bhardwaj,happy
2vKNjcvzG4OIBdtZPLbSLh,Birthday,Jordan Sandhu,happy
60nZcImufyMA1MKQY3dcCH,"Happy - From ""Despicable Me 2""",Pharrell Williams,happy
5EOKcXIGehKOLu1pRePYc4,Happy Hour,Mika Singh,happy
4p7DTkyrKqT98xlIwYYfXz,Running Wild,Jin,happy
583K4ns9YqEdw9mWWEeGrH,Happy Diwali,Vaishali,happy
6GuUpRsSJAhdkwWGoW9Kfx,Nilapakshi Happy Version,Sushin Shyam,happy
4mH1S8snQlMv2NWpeM2I06,Happy Birthday Yaara,Himmat Sandhu,happy
5aMLcPDGL28ZwP4N5Fztry,Happy,Yuvan Shankar Raja,happy
3H43T5swYywvcdCBFiDgW6,Manwa Laage,Shreya Ghoshal,happy
2R5iTxkCln6NLTw6l0kjWw,Happy Birthday Song,CoComelon,happy
1JO1xLtVc8mWhIoE3YaCL0,Happy Together,The Turtles,happy
0jRWHFDoBe3jBT2gdsoEqe,Happy Birthday Remix,Shanky Goswami,happy
1b6qYBwDMBpFylGVT4PRgD,Heart on the Window (with WENDY),Jin,happy
17pZNA374fCWXSqe3JBxUF,Happy Birthday,Hiphop Tamizha,happy
11bjmggAUphDSDOKzMCNiP,Happy Nation - 2015 Remastered,Ace of Base,happy
53kCb4RD3ttTHEcJKoYUZK,"Bhai Ka Birthday - From ""Antim - The Final Truth""",Sajid Khan,happy
4keoy2fqgwGnbWlm3ZVZFa,Happy Now,Zedd,happy
3apqAIWsoZFPOnX5ovBwOK,I Wish U Happy Happy Birthday,Nakash Aziz,happy
4xbq37lr4SuP3kuxj9y8gp,Another Level,Jin,happy
2FZiKJgWcqwLJ2GYnYuUri,Birthday Bash,Yo Yo Honey Singh,happy
3ZEno9fORwMA1HPecdLi0R,HAPPY,NF,happy
7gRQifhsh5NX7nT84a3pxk,Birthday Gift,Sharry Mann,happy
48ZIrgOwD74LvIf3EvLTt9,I’ll Be There,Jin,happy
0rUN8ascPVT9iiLzC5ocPw,Abhi Toh Party Shuru Hui Hai,Badshah,happy
3DeK5G7OhuJ1P1462XXgIu,Falling,Jin,happy
2ATrx8hOTXAZCBdlf6jKhs,Happy Birthday - Background Score,Anirudh Ravichander,happy
6Iar2rdBfVt5Sv7U7tD8Rr,The Happy Diwali Song,Shaan,happy
5c2BZj7YSGHwvjf2CtO2S4,I will come to you,Jin,happy
0Jr79mEiMWxN9EdWisUPBx,Birthday,Kaka WRLD,happy
4YFxgZRETINInDxEPQaIn6,Happy Adipoli,Yuvan Shankar Raja,happy
2B4Lg50Qvg7bTWt94SrdBc,Happy Birthday,Nakash Aziz,happy
1SydkdkUxDpfceFhwZa7tn,Sona Ke Jhulaniya,Shilpi Raj,happy
45J5uEdCQTUzUL3PN8XQun,Happy Birthday Song,CoComelon,happy
2dM6gB1xw3afy3iovxFcfk,O My Friend,Karthik,happy
14sOS5L36385FJ3OL8hew4,Happy Now,Kygo,happy
5BCmyRjZJdvOy0ygJ7TbGe,Akhian,Happy Raikoti,happy
50zAEIE4B1QqhPjRMK2Xmh,Running Wild,Jin,happy
5DQIZ8XC0EP7cfRFrtzY5h,Happy Mistake,Lady Gaga,happy
6WkcWRUTes7KiKMedTAaB2,Main Tan Vi Pyar Kardan,Happy Raikoti,happy
4jd89LLytUSjqjr0IvICfc,Birthday,Sumit Goswami,happy
45DB3yqxYGAnKN3YmLWbAX,Running Wild,Jin,happy
6r9iTuHa5PARwNnAU3bmew,Upbeat,Ryini Beats,upbeat
7LqhdpcXoke9VgHsDj3AoP,"Upbeat Inspirational Song About Life (feat. Greg Cipes, Scott Menville, Khary Payton, Tara Strong & Hynden Walch)",Teen Titans Go!,upbeat
5KMj4vhaIhGx6vLKXc4iS8,Energetic Upbeat Pop,Morninglightmusic,upbeat
14yyu4xYVBsmNsih8pFKVb,Upbeat,Infraction Music,upbeat
18VNxGXLRsGR9aq1yruXvn,Upbeat Fashion Lounge Summer Ambient,Gold-Tiger,upbeat
4CwvQfTEaVWZfo3cB3qPFo,Start Up,Happy Music Channel,upbeat
7q2bNoHPWaa3OSTC5wcIMV,UpBeat,Tab,upbeat
390WqtJIPHg5IUSrFycnKT,Upbeat and Inspiring Corporate,Morninglightmusic,upbeat
6GoYzAcOWqEcAfwzaXzv90,Right Now,Happy Music Channel,upbeat
08xSGmfXNJWh0yjUQzXvuz,Upbeat,AShamaluevMusic,upbeat
60zrnaizwQXx7kBS3JJuXo,Upbeat Corporate Inspiration,Melodality,upbeat
2FnmKpYraHvKyKdsy7KDOK,Upbeat Music,Background Music for Videos,upbeat
2ovDIb42GNsxNtkBMnwe0N,Upbeat,driftingaway,upbeat
3Yxduj8GvkKvCiS7H71wb4,Saranam Saranam Saranam Ayyappa - Upbeat Version,S. L. Murali,upbeat
5DXEPga9ZOWKxSqje4T9hx,Come On With It,Happy Music Channel,upbeat
0y5FqaWmv24baExEStItt1,Upbeat,Sound Gallery by Dmitry Taras,upbeat
0dWoABlhJXnVLQEyYVYJhF,Upbeat Happy Tune,Melodality,upbeat
7FkytZ6RxRfnFlSyKORbRE,Upbeat Fun,Morninglightmusic,upbeat
2hs5PQCJuU1hYENIHv00vY,Upbeat,Red Robotix,upbeat
6b76NXdPNsMRB7Ood09JQc,Dinanath - Upbeat,Sharda Sinha,upbeat
2NveWjexBCEqsOEiHBoXQ4,Very Cool,Happy Music Channel,upbeat
3X4iN3yOF85xUoOaVokkFN,Upbeat,Lofi Gold,upbeat
3LIFW4waGfNUZGjLDoc6sY,Hey You,Happy Music Channel,upbeat
6xGHmFoe0VQAeRHmsUojwG,Upbeat,The Lazy Bees,upbeat
0TAH3kHHqreWEr7tIf8gqf,Your Upbeat Life,Melodality,upbeat
3ZMRsgZxv9gFZZ9zMl3Ncn,upbeat,Quiet Wonder,upbeat
6WqMQfMOzlgHBK71MbTlkn,Upbeat and Inspiring Indie Rock,Morninglightmusic,upbeat
7ITH2NSSbeLkcgUv5vA10x,Follow Me,Happy Music Channel,upbeat
18TfGPwlvI05nxamQddQbq,UPBEAT,HAPPY UPBEAT MUSIC,upbeat
5E0YTsg8vmE2bdMsmJpcgB,Upbeat Ambient,Dmitro Khatskevych,upbeat
6U2E5OUBRpC6ndZ5PPvA91,Every Morning,Happy Music Channel,upbeat
56vvQFlih0cliW3bnFGzgj,upbeat,fazers,upbeat
7Lx9KmPs2M7lah1iDXhqtQ,Gulon Mein (Upbeat Version),KK,upbeat
7Kt4Xnkz3ETFD55J8KpaAq,Fun and Upbeat,Morninglightmusic,upbeat
10miaHfjm80uzeJynOyxWZ,Upbeat,ChetaJp,upbeat
6vN6T20IyY9Vo2k0bCRIja,Upbeat,Synthwave Nation,upbeat
0W2g8DDoIE9DoS6tJFD5h0,Upbeat Cafe,Cafe Music BGM channel,upbeat
7oD4wW96RAo6PtDYbYr4R9,Uplifting Upbeat Energetic Instrumental,Romansenykmusic,upbeat
0M3pFhZzmLdNefQk8cbNa8,Upbeat,Mapa,upbeat
0BL0PE0fxHyjlaWJiscAR3,Upbeat Ukulele,Morninglightmusic,upbeat
4JSAMr6fNOB0pFyquUekIu,Exciting Positive Moments (60s),Audiosphere,upbeat
57zjA7KF1sNngXj7RNMDF4,UPBEAT,CONVOY ONE,upbeat
1tG2CJG8XqikDZvp1d9VEt,Upbeat Background Music,Background Music for Videos,upbeat
4HBF3NmTwOf0KOqA6XhLbK,Going To The Upside,Robert Lamond,upbeat
0pw8XxykEo8jPN9AJe973C,Upbeat,Yotam Perel,upbeat
2DYRhu5WGp3RNVjnzg9twE,Chhathi Maiya Ayetan Aaj - Upbeat,Sharda Sinha,upbeat
24zjn3gbuo8AL7Tph8DI8N,Exciting Life,Melodality,upbeat
1M23jZsB2GvZvh8SO3BE6a,Upbeat,Toy likely,upbeat
0Zd1VoPAmtCTi37dsMFHqY,Kaun Disha Mein Leke Chala - Upbeat,Jaspal Singh,upbeat
6Y2YQFazXCWnttUPmyB610,Feel It Still,Portugal. The Man,upbeat
